road_stats_id,road_stats_id_distance,year,dec_lat,dec_long,fatal_count,maj_inj_count,bicycle_death_count,bicycle_maj_inj_count,ped_death_count,ped_maj_inj_count,time_of_day,weather,relation_to_road,alcohol_related,speeding,speeding_related,aggressive_driving
1984,9.25012352165794,2012,40.31909943,-79.83450317,0,1,0,0,0,1,1055,1,1,0,0,0,1
2310,9.39898771943989,2012,40.33789825,-79.96890259,0,1,0,0,0,0,1342,1,1,0,0,0,1
1109,6.17010483954827,2012,40.55199814,-80.03759766,0,1,0,0,0,1,133,1,4,1,0,0,0
1365,12.5598032282826,2012,40.42639923,-80.06349945,0,1,0,0,0,0,1405,1,1,0,0,0,0
3701,5.03684792272754,2012,40.38679886,-79.89459991,1,0,0,0,0,0,2340,1,2,0,0,0,0
2607,6.13003066903141,2012,40.53210068,-79.71279907,0,1,0,0,0,0,2126,1,1,0,0,1,1
4255,6.61832077623435,2012,40.4538002,-79.99549866,0,2,0,0,0,0,150,2,1,1,0,0,0
3706,17.7484189807431,2012,40.49399948,-80.31369781,0,1,0,0,0,0,822,1,1,0,0,0,1
1508,6.30211651468699,2012,40.4416008,-80.09459686,2,0,0,0,0,0,2113,1,4,0,0,0,0
3691,9.01457568829853,2012,40.3451004,-80.02739716,0,1,0,0,0,0,27,2,1,1,0,0,1
3436,7.65009145568154,2012,40.66120148,-80.09349823,0,1,0,0,0,0,135,1,2,1,1,1,1
850,11.4128578859239,2012,40.32490158,-79.90940094,0,1,0,0,0,0,2120,1,5,1,0,0,0
1383,0.352822918315106,2012,40.46379852,-80.05709839,0,1,0,0,0,0,1703,2,4,0,0,0,0
5001,0.813837747632377,2012,40.42589951,-79.94090271,0,1,0,0,0,0,2005,1,1,0,1,1,1
1879,7.21024877566555,2012,40.46070099,-79.84459686,0,1,0,0,0,0,2218,1,1,1,0,0,0
1567,4.71236245736314,2012,40.34360123,-79.86329651,0,1,0,0,0,0,1453,1,1,0,0,0,0
4595,7.61402968996524,2012,40.30020142,-80.05059814,1,0,0,0,0,0,1034,1,5,0,0,0,0
2357,11.4673982209152,2012,40.49750137,-79.78939819,1,1,0,0,0,0,1259,1,1,1,0,1,1
480,12.8854093066301,2012,40.46160126,-79.96710205,0,1,0,1,0,0,232,1,1,1,0,0,1
3352,13.195024255548,2012,40.61410141,-80.14420319,0,1,0,0,0,0,2310,5,5,1,1,1,1
1721,6.20788632748439,2012,40.38999939,-79.86859894,1,0,0,0,0,0,2300,1,1,0,0,0,0
4913,15.69858945797,2012,40.43030167,-80.02850342,0,1,0,0,0,0,1220,1,1,0,0,0,0
4037,12.065440257292,2012,40.44200134,-79.99960327,0,1,0,0,0,0,0,1,1,0,0,0,0
2128,22.0661214553625,2012,40.65330124,-79.90650177,0,1,0,0,0,0,1404,1,4,0,0,0,0
3119,11.217380806744,2012,40.42770004,-80.29450226,0,1,0,0,0,0,420,1,2,0,0,0,1
594,1.62542585110241,2012,40.45949936,-79.97360229,0,1,0,0,0,0,630,1,1,0,0,0,1
1615,12.9649380451759,2012,40.62129974,-80.09609985,0,1,0,0,0,0,745,1,5,0,0,1,1
887,2.76120904526778,2012,40.45750046,-79.896698,0,1,0,0,0,1,1950,1,1,0,0,0,0
1961,2.06867733404228,2012,40.49319839,-79.91290283,1,1,0,0,0,0,840,1,1,0,0,0,0
5023,14.8771285095727,2012,40.30270004,-79.93139648,0,1,0,0,0,0,148,1,4,0,1,1,1
1444,4.56267895638895,2012,40.4396019,-80.08940125,1,0,0,0,0,0,40,1,4,1,1,1,1
2255,0.594469169751322,2012,40.37599945,-79.82730103,0,1,0,1,0,0,1738,1,1,0,1,1,1
1984,5.48199518832542,2012,40.31990051,-79.83529663,0,1,0,0,0,0,1100,1,1,0,0,0,0
83,6.62941898018817,2012,40.43420029,-79.99539948,1,2,0,0,0,0,155,2,1,1,0,1,1
3583,37.7679396074218,2012,40.4817009,-79.97440338,0,1,0,0,0,0,1104,1,1,0,0,0,0
1374,0.120334352959487,2012,40.36399841,-79.98419952,0,1,0,0,0,1,820,1,1,0,0,0,0
895,1.34143566906448,2012,40.51539993,-79.95320129,0,2,0,0,0,0,9999,1,9,1,1,1,1
2125,6.5424047703892,2012,40.625,-79.83170319,0,2,0,0,0,0,1236,1,1,0,0,0,0
132,3.45914068552273,2012,40.44490051,-79.85150146,1,0,0,0,0,0,945,1,1,0,0,1,1
3358,7.14484538952583,2012,40.55289841,-80.10520172,0,1,0,0,0,0,1244,1,1,0,0,1,1
